image_id,captions
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3608567609_aae96d4a5e.jpg,A girl is sitting on a bench amongst trees .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/842960985_91daf0d6ec.jpg,A man with a long hair and a long trench coat walks down the sidewalk .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3018304737_0a46fc5f1d.jpg,A man is wakeboarding as he jumps into the air .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/140526326_da07305c1c.jpg,A person is standing on a rock in front of a cliff overlooking a city .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3374054694_fa56f29267.jpg,A black dog is jumping with a white Frisbee in its mouth .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1312020846_5abb4a9be2.jpg,Two big dogs of a small dog stand together in the woods .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1067180831_a59dc64344.jpg,A black and white dog jumps to catch a Frisbee in a field .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1095476286_87d4f8664e.jpg,Three people play in a river .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3399618896_9ef60cd32c.jpg,Two young men are holding red bags and walking .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/186890601_8a6b0f1769.jpg,A man wearing a yellow shirt is swinging on a rope swing over the ocean .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3289893683_d4cc3ce208.jpg,A basketball player with orange and white looks serious during a game .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3055716848_b253324afc.jpg,A man in a brown shirt and brown shorts is at a jump in midair in front of a mountain building .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3067971348_69af5bb309.jpg,A couple in the street with cars in the background .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3484625231_5b1a1a07b8.jpg,a football player playing cricket in a field
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3185662156_c877583c53.jpg,A young man in a white jacket is on a red sled .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2709683703_5385ea9ef4.jpg,A man is wearing a red plaid shirt with a red dog toy while a dog is jumping up .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3165936115_cb4017d94e.jpg,Two women are fencing .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3540155303_08225a4567.jpg,A man is performing a midair stunt on a bicycle in the air .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/241031670_e60f59b8e4.jpg,A blonde girl is walking under the water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/371364900_5167d4dd7f.jpg,A black dog looking at the body of water on the beach .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2636876892_9353521a1c.jpg,The dog and the dog play with a stick in the sand .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3184112120_6ddcd98016.jpg,A man and a woman in black stand in front of a man in a black shirt who is in front of a white building .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1342766791_1e72f92455.jpg,A boy is standing in a field of grass and reads a face .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3584406900_039f30b34c.jpg,A child smiling at the camera as two other boys play by .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2512682478_b67cc525c7.jpg,Two girls play in the long grass .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3589267801_5a222e3a60.jpg,A brown dog with brown spots running .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2594336381_a93772823b.jpg,A baby shovels a small child in a bathing suit .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1402843760_d30f1dbf0f.jpg,A dog holds a stick in its mouth .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3417037373_67f7db2dd2.jpg,A group of people in a crowd .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/521186251_e97d1f50f8.jpg,a couple of girls riding a red boat .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/358607894_5abb1250d3.jpg,a man wearing a pink hat and carrying a long box .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2071309418_1d7580b0f0.jpg,Two dogs playing on sand .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3125628091_25a31709df.jpg,A boy in a white coat and blue hat has his mouth open while playing a guitar .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3559781965_d4ec00e506.jpg,A brown and a Frisbee .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/421706022_1ddb6a7a78.jpg,A blond and a flag is getting ready to cross the street with a balloon .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3665549027_d7fb05d157.jpg,The dogs are in a field .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2738255684_0324ed062d.jpg,A muzzled greyhound is running a race .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/654130822_4aeb1f1273.jpg,A swimmer with two young daughters poses with their arms raised .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/897406883_f09f673d94.jpg,Two small children play in a river .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/451326127_2d95a2e1c2.jpg,A dog jumps over the tree .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1508269285_6c5723f67d.jpg,Black and white dog wades through water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/35506150_cbdb630f4f.jpg,"A man holds a large fish of a large , fish ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3627290893_561e176e80.jpg,"A group of guys , with one man singing ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3542771548_fcb8fa0cba.jpg,A horse and rider jumping a small fence on a horse .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2272548482_0b4aec5cdd.jpg,The basketball player is wearing a Florida jersey .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3315110972_1090d11728.jpg,A white bird holds its wings spread over the water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2916586390_664f0139ea.jpg,A girl in a green dress is running away from a crowd .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2877088081_7ca408cb25.jpg,A man performing skateboard tricks on a wooden railing on an indoor walkway .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3563059800_c073081ce3.jpg,A guy sits in a restaurant wearing a pink jacked .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2867937005_91c092b157.jpg,A girl smiles in the ocean .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3362805914_72f60ee8cb.jpg,A girl in a blue and white shirt is running through a grassy area with a green ball .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2743709828_a795a75bfc.jpg,A horse with a yellow bandanna is running in front of a running horse .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/482907079_22085ada04.jpg,A woman looking at the camera as he climbs a rock in a park .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2540751930_d71c7f5622.jpg,A bunch of people are watching a game involving trees .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2986620935_e97763983d.jpg,A person is riding a bike behind a person on a hill .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3067885047_f69d90c35b.jpg,Three children are running in a field of dry grass .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3334866049_f5933344aa.jpg,A pair of young people walking through the snow .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2072574835_febf0c5fb9.jpg,Race dogs midair while they run on the dirt .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/529198549_5cd9fedf3f.jpg,Two girls waterskiing .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1388373425_3c72b56639.jpg,A man and a woman sit on a bench outside a building .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/199809190_e3f6bbe2bc.jpg,A man wearing no shirt and shorts is falling into the water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2544246151_727427ee07.jpg,A young girl runs past a fence and is holding a blue ball .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3258472448_75cfab5e6f.jpg,A red and white fire is being ridden by a fire .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3400135828_0ac128b6eb.jpg,A black dog is running through the snow .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3597210806_95b07bb968.jpg,A boy is running while holding a basketball on the opposing team .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2065875490_a46b58c12b.jpg,A woman walking down a sidewalk next to a bushes .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/162743064_bb242faa31.jpg,A dog jumps in the air at a dog show .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3257107194_f235c8f7ab.jpg,A little boy is wearing a floating flip over her head next to a river .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/581419370_30485f3580.jpg,two people jumping on a big rock ledge over a large tree
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3376435746_1593d9b243.jpg,A boat is wakeboarding in the water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2911245290_b2c79f328a.jpg,a little boy playing with a blue raft on a river .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3259992722_4c5e895734.jpg,a group of people in a crowd
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3657209354_cde9bbd2c5.jpg,A hiker sits on a hill near a large cliff .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3356642567_f1d92cb81b.jpg,A girl in a bathing suit and blue jeans is smiling to the left .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3582814058_564776f26c.jpg,Six individuals of varying ages stand in front of a red stone wall covered in mountains .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3657503733_9888ccf05e.jpg,A man jumping off a tree with a tree in the background .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3000722396_1ae2e976c2.jpg,A dog with a red toy in its mouth and mouth is running in a field
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3148193539_de9dd48fc8.jpg,Three boys play on a slide .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3588417747_b152a51c52.jpg,A person in an orange shirt and white jeans is skating and doing a trick on a skateboard up the street .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2374179071_af22170d62.jpg,A man fishes on the hard water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/950273886_88c324e663.jpg,A man is rock climbing .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3205754736_32c29b5208.jpg,A man on a street with a lot of other people on a street corner .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3593220756_5c416c3ceb.jpg,A man is wakeboarding over a huge wave .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2880874989_a33b632924.jpg,The girl is in a green sweatshirt and jumping up .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/223299137_b0e81ac145.jpg,There is a boat and a child in red are holding a large yellow boat in the water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3222496967_45d468ee66.jpg,A pretty blonde haired woman is walking outside professionally bars .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3415578043_03d33e6efd.jpg,A child lies on an icy river and paint .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3301021288_95935b7a74.jpg,A dog with a red leash and a dog on a leash .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/109260218_fca831f933.jpg,A rock climber is walking down the side of a rocky cliff .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3298233193_d2a550840d.jpg,A brown and white dog is running fast through the snowy grass .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3500505549_d848209837.jpg,A man is riding a skateboard in a park with a skateboard .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/523327429_af093fc7cf.jpg,Two men are in front of a red advertisement that has a yellow sign and a yellow sign .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3046949818_245b05f507.jpg,a football player gets some players .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2525455265_f84ba72bd7.jpg,A man in a blue jacket is sitting in a grassy area with his hands in the air .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3025315215_a5d367971a.jpg,a dog in the snow .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2866686547_0a67eb899d.jpg,A soccer player in a green uniform is running towards the soccer ball next to a player in green .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1003163366_44323f5815.jpg,A dog with a yellow bandanna is climbing a small dog .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3030824089_e5a840265e.jpg,A dog with a ball in its mouth is running in a yard .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/397725001_e51f7c391c.jpg,A white dog in the air with a child on his head .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/404890608_33f138aefa.jpg,Young girl in pink is standing on grass holding hands and running while young boy is hands in the grass .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/502115726_927dd684d3.jpg,A boy straddles a little boy playing in the play equipment .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1470061031_4cb59c12a8.jpg,Two white and brown dogs playfully wrestle together on the sand .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/489551372_b19a6ad0ed.jpg,A woman playing with a toy at a agility park .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2462153092_e3f4d8f6a2.jpg,Three dogs running in a field .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3556037801_3992ce6826.jpg,Man and a woman in a pink shirt riding a bike on a street near a bridge .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2615811117_42b1838205.jpg,"A happy , excited boy on a roller coaster ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/697582336_601462e052.jpg,A dog running in a field .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3301854980_233cc2f896.jpg,A snowboarder jumping down a hill .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3517362674_0f5296de19.jpg,A small child plays in a green sea .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3566225740_375fc15dde.jpg,Army vehicles line up the side of the hill .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3406116788_c8f62e32d1.jpg,A man sits on a bench with his dog under his feet .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2886837407_a4510ab1ef.jpg,Two smiling girls with a small girl with a blue shirt and blue shirt with a blue shirt and a yellow shirt .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3628103548_2708abcda2.jpg,A woman stands and plays music in a stage .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/543603259_ef26d9c72d.jpg,A woman and three people walking down the street
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1499495021_d295ce577c.jpg,A man fishes in a body of water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/520491467_54cbc0a866.jpg,"Two children with blonde hair , and heels are on a trampoline in the air ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3032790880_d216197d55.jpg,One soccer player is laying after a soccer ball in the grass .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3728164558_52729baefa.jpg,A man in blue coat sitting on the sidewalk with his mouth open and bags open to a holding on the front of a seated building .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3298199743_d8dd8f94a0.jpg,Two men parachutes into a field .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3538686658_30afc75f02.jpg,A person on a bike jumping through a hill of dirt and dirt .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3269380710_9161b0bd00.jpg,a man and a woman are front front to the front of a building .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3038941104_17ee91fc03.jpg,A snowboarder in a white and blue uniform is holding a green rope .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/241345323_f53eb5eec4.jpg,"An American footballer in a red outfit is attacking the player in white who is running with the ball , whilst other players are on the grassy ground ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2234910971_80e0325918.jpg,A pair of people rest on desert at the beach .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/357191373_a1cb5696e8.jpg,A horse is riding down a snowy path .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3062273350_fd66106f21.jpg,A group of men in white shirts and black jackets are standing in front of a small cliff .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1417295167_5299df6db8.jpg,A man and a woman are standing before the video camera .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1016887272_03199f49c4.jpg,Two men climbing a rock .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2665461736_595c87f0a3.jpg,A boy is cooking over a bucket of fire .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3638688673_176f99d7fd.jpg,A boy wearing a white t-shirt and jeans is swinging on a swing .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3359089834_263e529c71.jpg,Two dogs running in the snow .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2212472643_80238475b5.jpg,"A happy , excited boy are playing in a race ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/241345721_3f3724a7fc.jpg,A football player skiing to the ball .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/437404867_209625774d.jpg,A woman and a man sit on a bench waiting for a picture of a train .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2240539658_dea8db6e55.jpg,Dog running in snow .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/431018958_84b2beebff.jpg,A girl rows a boat over a rope bridge .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1598085252_f3219b6140.jpg,A dog looking at the camera in a forest .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2865409854_afedf98860.jpg,People play with a public fountain in a park .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/482353373_03a9d5e8bc.jpg,A woman in a costume holding a bun to her friend .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3035949542_cb249790f5.jpg,Little girl in soccer ball with soccer ball in hand .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3211577298_14296db6fd.jpg,A man is surfing .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3456251289_c4ae31d817.jpg,A person in a red and white striped coat is riding a sand dune .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1348891916_ebd4413033.jpg,A tan dog is playing in the water with a stick in its mouth .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/504904434_889f426c6e.jpg,A child in blue is running outside .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/375171241_0302ad8481.jpg,Three people in reflective clothing are riding bikes .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3497234632_6ec740fc1e.jpg,The group of children fighting near a basketball hoop .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2598979962_c01811cfca.jpg,Female running and deer .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2856456013_335297f587.jpg,A soccer player in a red and white uniform is running past the goal and looks back towards the ball .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2325816912_b3bb41cdbb.jpg,A dog with a red toy in its mouth .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/694496803_f2a05869cf.jpg,"A person on a football , a white top plays a game on a lawn , with a crowd on their arm ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3541962817_78bcd3835b.jpg,A woman in a blue and white jersey stands on a wooden fence .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/217583047_5e93e1e119.jpg,An old man in a red kayak is rowing out of the boat into the water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/111766423_4522d36e56.jpg,A black bird and a black bird with a large bird .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3533451027_b078e4631b.jpg,A soccer player blocks while holding the ball .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/236474697_0c73dd5d8b.jpg,A couple holding hands and a young woman holding a child to show identical stand outside .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2090723611_318031cfa5.jpg,Dog and dog play in the snow .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2369840118_a1c4240ab7.jpg,A white dog is rolling on the grass with very number of the two women .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/287999021_998c2eeb91.jpg,A man in blue is climbing a cliff on a cliff .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3339747039_1a8455c210.jpg,A dog is standing on top of a mountain overlooking a mountain scene .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3485599424_94de8ede51.jpg,A dog runs by the woods .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3260088697_af9b6d2393.jpg,The little boy is playing in the water wearing a red shirt .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3019917636_4e0bb0acc4.jpg,A mountain bike rider is riding on a dirt bike in a race .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3265964840_5374ed9c53.jpg,"A man is holding a snowboard across a mountain , while a man in front of a mountain ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2607099736_8681f601d9.jpg,A bunch of Asian kids are standing in a race area .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3286193613_fc046e8016.jpg,Two dogs are barking at each other at the ball .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3348785391_c243faf6bb.jpg,A lady is jumping into the air .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2264316030_600e55748d.jpg,Dog running through snow .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3688005475_d200165cf7.jpg,a little boy is wearing a blue hat with a blue and yellow ball in his wings .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/534200447_b0f3ff02be.jpg,Two girls play flag in a yard with a fence and a fence .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1142847777_2a0c1c2551.jpg,A man in a race helmet is riding down a city street .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2842849030_89548af61c.jpg,A little boy is playing in a deep pile with his mouth open .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2864340145_d28b842faf.jpg,A black dog is swimming in the water .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/160805827_5e6646b753.jpg,"A man in a red shirt and blue glasses stands near a rock , holding a child in front of the water ."
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3584196366_a4b43d6644.jpg,A shaggy dog runs along the sandy beach .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/310213587_778fe8fb5b.jpg,A man and woman sit on a bench outside and look down at an outside .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3288274849_07ff76ee93.jpg,A snowboarder slides down a hill .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2940594396_20c40947b0.jpg,A person is riding a bike at a racing event .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/3183060123_ea3af6278b.jpg,A motorcycle rider is driving through a turn on a racetrack .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/2837640996_0183db8d93.jpg,A man and woman sit outdoors .
/content/drive/My Drive/Flickr8k_Dataset/Flicker8k_Dataset/1244485675_822e6efe60.jpg,A child in a blue and white flowered coat is holding a sea and looks at a green toy .
